isin,ticker,name
DE0005488100,ISR,ISRA VISION O.N.
DE0005493092,BVB,BORUSSIA DORTMUND
DE0005545503,DRI,DRILLISCH AG O.N.
DE0005558696,PGN,PARAGON AG
DE0005565204,DUE,DUERR AG O.N.
DE0005654933,EIN3,EINHELL GERMANY VZO O.N.
DE0005664809,EVT,EVOTEC AG O.N.
DE0005677108,ELG,ELMOS SEMICONDUCTOR AG
DE0005772206,FIE,FIELMANN AG O.N.
DE0005790406,FPE,FUCHS PETROLUB SE O.N.
DE0005895403,GMM,GRAMMER AG O.N.
DE0005909006,GBF,BILFINGER SE O.N.
DE0006013006,HAB,HAMBORNER REIT AG O.N.
DE0006053952,KBC,KONTRON AG O.N.
DE0006062144,1COV,COVESTRO AG  O.N.
DE0006070006,HOT,HOCHTIEF AG
DE0006083405,HBH,HORNBACH HOLD.ST O.N.
DE0006095003,CAP,CAPITAL STAGE AG
DE0006219934,JUN3,JUNGHEINRICH AG O.N.VZO
DE0006231004,IFX,INFINEON TECH.AG NA O.N.
DE0006464506,LEI,LEIFHEIT AG O.N.
DE0006968001,PWO,PROGRESS-WERK OBERK. O.N.
DE0006969603,PUM,PUMA SE
DE0007042301,RHK,RHOEN-KLINIKUM O.N.
DE0007164600,SAP,SAP SE O.N.
DE0007203705,SHF,SNP SCHNEID.-NEUREIT.O.N.
DE0007231326,SIX2,SIXT SE ST O.N.
DE0007235301,SGL,SGL CARBON SE O.N.
DE0007251803,SAZ,STADA ARZNEIMITT. NA O.N.
DE0007257503,CEC,METRO AG ST O.N.
DE0007274136,STO3,STO SE+CO.KGAA VZO O.N.
DE0007314007,HDD,HEIDELBERG.DRUCKMA.O.N.
DE0007480204,DEQ,DEUTSCHE EUROSHOP AG O.N.
DE0007500001,TKA,THYSSENKRUPP AG O.N.
DE0007507501,WSU,WASHTEC AG O.N.
DE0007551400,USE,BEATE UHSE AG
DE0007571424,GKS,GK SOFTWARE O.N.
DE0007657231,VIB3,VILLEROY + BOCH AG VZ
DE0008402215,HNR1,HANNOVER RUECK SE NA O.N.
LU0307018795,SFQ,"SAF HOLLAND S.A.   EO-,01"
LU0775917882,GYC,"GRAND CITY PROPERT.EO-,10"
NL0000235190,AIR,AIRBUS
NL0011375019,SNH,"STEINHOFF INT.HLDG.EO-,50"
DE000BFB0019,B4B,METRO WHOLE.FOOD  ST O.N.
DE000A0DJ6J9,S92,SMA SOLAR TECHNOL.AG
DE000A0L1H32,93M,MPH MITT.PHARMA HLDG
DE000A1DAHH0,BNR,BRENNTAG AG NA O.N.
DE000A1H8MU2,ADD,ADLER MODEMAERKTE AG O.N.
DE000A1X3X33,WCMK,WCM BET.GRD.AG  O.N.
DE000A161N30,GLJ,GRENKE AG NA O.N.
DE000FTG1111,FTK,FINTECH GROUP AG  NA O.N.
DE000PAT1AG3,P1Z,PATRIZIA IMMOBILIEN NA ON
DE000VTG9999,VT9,VTG AG O.N.
DE0005008007,ADL,ADLER REAL ESTATE AG
DE0005086300,AEI,ALLGEIER SE  O.N.
DE0005111702,ZO1,ZOOPLUS AG
DE0005493365,HYQ,HYPOPORT AG
DE0005494538,CUR,CURASAN AG
DE0005501357,SPR,A.SPRINGER SE VNA
DE0005759807,IXX,INIT INNOVATION O.N.
DE0005937007,MAN,MAN SE ST O.N.
DE0006200108,INH,INDUS HOLDING AG
DE0006305006,DEZ,DEUTZ AG O.N.
DE0006452907,NEM,NEMETSCHEK SE O.N.
DE0006580806,MUM,MENSCH UND MASCH.O.N.
DE0006632003,MOR,MORPHOSYS AG O.N.
DE0006766504,NDA,AURUBIS AG
DE0007030009,RHM,RHEINMETALL AG
DE0007037145,RWE3,RWE AG VZO O.N.
DE0007170300,SLT,SCHALTBAU HOLDING O.N
DE0007231334,SIX3,SIXT SE VZO O.N.
DE0007493991,SAX,STROEER SE + CO. KGAA
DE0007667107,VOS,VOSSLOH AG O.N.
DE0007856023,ZIL2,ELRINGKLINGER AG NA O.N.
DE0008041005,EFF,DT.EFF.U.WECH.-BET.G.O.N.
DE0008051004,WUW,WUESTENROT+WUERTT.AG O.N.
AT0000746409,OEWA,VERBUND AG       INH. A
CA3809564097,GO5,GOLDCORP INC.
CH0012005267,NOT,"NOVARTIS NAM.     SF 0,50"
CH0012138530,CSX,"CRED.SUISSE GRP NA SF-,04"
CH0012221716,ABJ,"ABB LTD. NA     SF 0,12"
